practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,4.0,6.004279499989934,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
1,0,1,0,,,,,5.0,3.378587599960156,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
2,0,2,0,,,,,5.0,3.230604799988214,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
3,0,3,0,,,,,3.0,2.6139774000039324,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
4,0,4,0,,,,,4.0,2.4815515000373125,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
5,0,5,0,,,,,4.0,2.0972799999872223,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
6,0,6,0,,,,,4.0,3.081584900035523,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
7,0,7,0,,,,,5.0,3.014570700004697,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
8,0,8,0,,,,,4.0,2.3640641000238247,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
9,0,9,0,,,,,4.0,1.9813107999507338,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,0,0,0,0,3.0,4.3152657999889925,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,1,0,1,0,4.0,2.2312351999571547,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,2,0,2,0,4.0,2.7648283999878913,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,3,0,3,0,3.0,2.498085600032937,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,4,0,4,0,3.0,2.481770099955611,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,5,0,5,0,4.0,3.1148206000216305,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,6,0,6,0,5.0,2.480975300015416,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,7,0,7,0,3.0,2.515649900014978,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,8,0,8,0,3.0,2.3642894999939017,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,9,0,9,0,4.0,2.1314345999853685,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,10,0,10,0,2.0,2.581274399999529,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,11,0,11,0,4.0,2.1810529999784194,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,12,0,12,0,4.0,2.448767499998212,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,13,0,13,0,3.0,2.447918199992273,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,14,0,14,0,3.0,2.532059899996966,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,15,0,15,0,4.0,2.047861800005194,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,16,0,16,0,4.0,2.1981454999768175,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,17,0,17,0,3.0,2.3645755000179633,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,18,0,18,0,4.0,1.9147744000074454,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,19,0,19,0,4.0,1.9975561000173911,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,20,0,20,0,3.0,2.2988753000390716,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,21,0,21,0,2.0,2.4145429999916814,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,22,0,22,0,4.0,2.0481816999963485,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,23,0,23,0,4.0,1.9813258999492973,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,24,0,24,0,3.0,1.8980679000378586,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,25,0,25,0,4.0,1.8779577999957837,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,26,0,26,0,3.0,1.798106399946846,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,27,0,27,0,4.0,1.9145025999750942,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,28,0,28,0,3.0,2.614689600013662,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,29,0,29,0,3.0,2.8144531999714673,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,30,0,30,0,2.0,2.3813583999872208,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,31,0,31,0,3.0,2.51467629999388,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,32,0,32,0,2.0,2.165007100033108,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,33,0,33,0,3.0,2.5315303000388667,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,34,0,34,0,3.0,1.9647618000162765,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,35,0,35,0,3.0,1.8647330999956466,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,36,0,36,0,3.0,1.7980932000209577,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,37,0,37,0,3.0,3.814939600008074,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,38,0,38,0,2.0,2.6813127999776043,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,39,0,39,0,4.0,2.165472700027749,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,40,0,40,0,4.0,2.3987134999479167,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,41,0,41,0,3.0,2.2813588000135496,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,42,0,42,0,4.0,2.097731699992437,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,43,0,43,0,4.0,2.481691100052558,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,44,0,44,0,4.0,2.381391899951268,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,45,0,45,0,4.0,2.1052163999993354,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,46,0,46,0,4.0,1.7497226999839768,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,47,0,47,0,5.0,3.936481899989303,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,48,0,48,0,4.0,1.8130976000102237,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,49,0,49,0,3.0,2.3050043000257574,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,50,0,50,0,4.0,2.2351592000341043,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,51,0,51,0,5.0,2.0905708000063896,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,52,0,52,0,3.0,2.436988300003577,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,53,0,53,0,3.0,2.4198839000309817,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,54,0,54,0,3.0,1.9502328000380658,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,55,0,55,0,3.0,1.9515116999973543,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,56,0,56,0,4.0,2.3381566999596544,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,57,0,57,0,4.0,2.835041199985426,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,58,0,58,0,3.0,1.8451406999956816,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
,,,,59,0,59,0,2.0,2.53366219997406,15,001,2019_Nov_19_1549,001,3.0.7,60.029378377852716,
