practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2.0,3.529834999999821,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
1,0,1,0,,,,,3.0,2.5130098999998154,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
2,0,2,0,,,,,1.0,2.8813450000002376,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
3,0,3,0,,,,,2.0,2.230729500000052,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
4,0,4,0,,,,,2.0,2.0470776000001933,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
5,0,5,0,,,,,2.0,1.9984476000004179,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
6,0,6,0,,,,,2.0,1.897477699999854,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
7,0,7,0,,,,,2.0,2.061944200000198,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
8,0,8,0,,,,,2.0,2.0483813999999256,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
9,0,9,0,,,,,1.0,4.847992399999839,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,0,0,0,0,2.0,3.3293053000002146,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,1,0,1,0,3.0,2.1822078999998666,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,2,0,2,0,2.0,2.4815209999997023,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,3,0,3,0,3.0,1.964872000000014,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,4,0,4,0,3.0,2.3817740999998023,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,5,0,5,0,4.0,2.5324172000000544,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,6,0,6,0,1.0,3.5316023999998833,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,7,0,7,0,1.0,2.582187299999987,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,8,0,8,0,1.0,1.9808428999999705,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,9,0,9,0,2.0,1.9813774999997804,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,10,0,10,0,2.0,1.9322253999998793,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,11,0,11,0,2.0,1.948210300000028,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,12,0,12,0,2.0,1.8652941999998802,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,13,0,13,0,1.0,2.4148282999999537,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,14,0,14,0,2.0,1.69834260000016,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,15,0,15,0,2.0,1.548001000000113,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,16,0,16,0,1.0,2.5147547000001396,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,17,0,17,0,1.0,3.2312231000000793,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
,,,,18,0,18,0,3.0,2.348877000000357,1,001,2019_Nov_15_1717,001,3.0.7,59.89849600890461,
