practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,4.0,4.117525399997248,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
1,0,1,0,,,,,4.0,3.9128397000022233,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
2,0,2,0,,,,,3.0,6.363594100010232,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
3,0,3,0,,,,,4.0,3.614536799999769,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
4,0,4,0,,,,,3.0,5.197977500007255,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
5,0,5,0,,,,,3.0,3.9479732000036165,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
6,0,6,0,,,,,4.0,3.2143012000015005,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
7,0,7,0,,,,,4.0,3.1807644000073196,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
8,0,8,0,,,,,3.0,3.748308000009274,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
9,0,9,0,,,,,4.0,4.7308077000052435,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,0,0,0,0,3.0,4.861145100003341,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,1,0,1,0,5.0,4.214282400003867,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,2,0,2,0,3.0,3.4478023999981815,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,3,0,3,0,4.0,5.998422400007257,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,4,0,4,0,4.0,3.5145726000046125,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,5,0,5,0,3.0,3.265017400000943,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,6,0,6,0,3.0,5.248068699991563,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,7,0,7,0,3.0,2.4988873999973293,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
,,,,8,0,8,0,3.0,2.963980700005777,3,001,2019_Nov_16_1547,001,3.0.7,59.98404424493943,
