practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.0,8.025638699997216,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
1,0,1,0,,,,,4.0,5.744776299921796,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
2,0,2,0,,,,,3.0,7.48175929998979,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
3,0,3,0,,,,,4.0,4.580562699935399,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
4,0,4,0,,,,,3.0,5.796899700071663,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
5,0,5,0,,,,,3.0,3.8315287000732496,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
6,0,6,0,,,,,3.0,4.114418599987403,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
7,0,7,0,,,,,4.0,6.53074870002456,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
8,0,8,0,,,,,3.0,4.263721899944358,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
9,0,9,0,,,,,4.0,4.096369000035338,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,0,0,0,0,3.0,5.196817000047304,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,1,0,1,0,4.0,5.531004099990241,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,2,0,2,0,4.0,5.2480816000606865,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,3,0,3,0,3.0,5.014378400053829,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,4,0,4,0,3.0,2.6309529999271035,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,5,0,5,0,3.0,2.6314441000577062,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,6,0,6,0,4.0,5.314579199999571,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,7,0,7,0,2.0,6.014592299936339,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,8,0,8,0,3.0,5.6970457000425085,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,9,0,9,0,3.0,2.3321802000282332,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,10,0,10,0,3.0,2.247919899993576,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,11,0,11,0,3.0,1.9976190000306815,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,12,0,12,0,3.0,3.1811106998939067,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,13,0,13,0,3.0,9.547678499948233,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,14,0,14,0,3.0,1.9478457999648526,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,15,0,15,0,3.0,9.614852600032464,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,16,0,16,0,3.0,8.91428329993505,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,17,0,17,0,3.0,2.6310596000403166,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,18,0,18,0,4.0,8.29817159997765,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,19,0,19,0,3.0,3.4809878999367356,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,20,0,20,0,3.0,2.3647761000320315,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,21,0,21,0,3.0,3.5648546000011265,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,22,0,22,0,3.0,2.498016000026837,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,23,0,23,0,2.0,4.731141799944453,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,24,0,24,0,3.0,3.014469899935648,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,25,0,25,0,3.0,5.898071000003256,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,26,0,26,0,4.0,4.764717599959113,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,27,0,27,0,3.0,2.8805913999676704,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,28,0,28,0,3.0,2.481428899918683,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,29,0,29,0,3.0,6.964703600038774,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,30,0,30,0,3.0,2.182125199935399,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
,,,,31,0,31,0,3.0,7.048001800081693,28,001,2019_Nov_22_1146,001,3.0.7,60.01759715373957,
