015,016,005
001,002,005
005,005,008
019,016,007
011,012,002
012,010,007
019,017,013
020,008,007
012,007,011
014,008,012
008,014,017
016,012,016
015,004,006
009,006,013
005,010,006
005,005,005
010,000,006
014,014,002
013,009,007
006,020,002
010,014,006
005,018,009
019,007,009
004,007,014
017,016,006
000,015,011
010,015,012
020,010,009
003,010,001
016,010,012
006,017,007
003,007,016
001,019,020
013,005,017
016,003,002
016,002,016
007,018,007
014,007,020
018,004,004
002,011,017
001,019,014
011,005,000
019,004,013
002,001,006
008,007,003
014,007,012
005,011,007
008,013,005
008,009,007
007,006,007
010,008,010
013,015,014
007,010,012
015,010,013
006,005,008
009,010,009
012,011,012
008,014,009
010,012,009
008,008,009
