practices.thisRepN,practices.thisTrialN,practices.thisN,practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.0,13.770585100050084,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
1,0,1,0,,,,,3.0,6.713383299997076,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
2,0,2,0,,,,,2.0,6.029470300069079,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
3,0,3,0,,,,,4.0,5.047736700042151,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
4,0,4,0,,,,,1.0,3.663871700060554,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
5,0,5,0,,,,,1.0,2.3810292000416666,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
6,0,6,0,,,,,3.0,4.897464099922217,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
7,0,7,0,,,,,5.0,6.197023099986836,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
8,0,8,0,,,,,1.0,3.1646305999020115,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
9,0,9,0,,,,,1.0,2.3141964999958873,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,0,0,0,0,1.0,3.910176399978809,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,1,0,1,0,2.0,4.448528000037186,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,2,0,2,0,4.0,3.3473791000433266,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,3,0,3,0,1.0,3.2816175000043586,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,4,0,4,0,1.0,2.216228000004776,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,5,0,5,0,1.0,0.34815930004697293,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,6,0,6,0,1.0,2.047826200025156,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,7,0,7,0,2.0,3.3989279000088573,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,8,0,8,0,1.0,2.3141026999801397,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,9,0,9,0,2.0,4.182144099962898,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,10,0,10,0,3.0,4.998101499979384,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,11,0,11,0,2.0,3.0475649000145495,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,12,0,12,0,1.0,2.6988021000288427,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,13,0,13,0,3.0,3.198503200081177,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,14,0,14,0,1.0,3.5982458000071347,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,15,0,15,0,2.0,4.931454700068571,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,16,0,16,0,2.0,3.3144469999242574,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,17,0,17,0,3.0,2.7648111999733374,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,18,0,18,0,1.0,2.54792320006527,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,19,0,19,0,1.0,1.764143000007607,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,20,0,20,0,2.0,2.3154248000355437,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,21,0,21,0,3.0,2.4647685000672936,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,22,0,22,0,1.0,2.648655299912207,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
,,,,23,0,23,0,2.0,3.014641599962488,38,001,2019_Nov_27_1357,001,3.0.7,60.0117622971662,
